@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute avgSpeed numeric
@attribute avgAccel numeric
@attribute stdSpeed numeric
@attribute stdAccel numeric
@attribute timeBeforeDrawing numeric
@attribute timeDrawing numeric
@attribute timeBeforeEval numeric
@attribute selectedX numeric
@attribute selectedY numeric

@data
5986,'2019/05/07 18:01:32:241',17,272,217,11,1.094541,-10.94541,0.5,56,8.678572,1.806394,6.731492,1.503108,3216,0,0,0.296,0.072
5987,'2019/05/07 18:01:32:270',17,269,214,6,-4.242641,-4.242641,1.25,57,8.631579,1.796633,6.680547,1.491449,3243,0,0,0.296,0.072
5988,'2019/05/07 18:01:32:303',17,268,214,1,-1,0,1.666667,58,8.5,1.794392,6.69708,1.478407,3274,0,0,0.296,0.072
5989,'2019/05/07 18:01:32:336',17,257,215,12,-11.950719,1.086429,2.75,59,8.559322,1.810588,6.654713,1.470877,3305,0,0,0.296,0.072
5990,'2019/05/07 18:01:32:370',17,255,216,3,-2.683281,1.341641,2.25,60,8.466666,1.817912,6.636996,1.459462,3339,0,0,0.296,0.072
5991,'2019/05/07 18:01:32:401',17,249,220,10,-8.320503,5.547002,1.4,61,8.491803,1.811061,6.584383,1.448238,3373,0,0,0.296,0.072
5992,'2019/05/07 18:01:32:430',17,245,227,11,-5.457528,9.550674,0.2,62,8.532258,1.785076,6.537955,1.450818,3403,0,0,0.296,0.072
5993,'2019/05/07 18:01:32:453',17,243,231,6,-2.683281,5.366563,1.25,63,8.492064,1.776583,6.492858,1.440648,3433,0,0,0.296,0.072
5994,'2019/05/07 18:01:32:486',17,243,235,4,0,4,0.5,64,8.421875,1.756636,6.465549,1.43805,3457,0,0,0.296,0.072
5995,'2019/05/07 18:01:32:513',17,244,251,17,1.060431,16.966894,2.6,65,8.553846,1.769611,6.502478,1.4306,3489,0,0,0.296,0.072
5996,'2019/05/07 18:01:32:548',17,244,254,3,0,3,3.5,66,8.469697,1.795829,6.488379,1.435443,3517,0,0,0.296,0.072
5997,'2019/05/07 18:01:32:583',17,246,260,8,2.529822,7.589466,1,67,8.462687,1.783951,6.439294,1.427841,3551,0,0,0.296,0.072
5998,'2019/05/07 18:01:32:614',17,252,263,9,8.049845,4.024922,0.2,68,8.470589,1.760658,6.39139,1.430104,3585,0,0,0.296,0.072
5999,'2019/05/07 18:01:32:648',17,255,264,4,3.794733,1.264911,1.666667,69,8.405797,1.759295,6.367009,1.419595,3617,0,0,0.296,0.072
6000,'2019/05/07 18:01:32:682',17,274,263,20,19.972355,-1.051177,4,70,8.571428,1.791305,6.470829,1.434492,3651,0,0,0.296,0.072
6001,'2019/05/07 18:01:32:712',17,277,261,5,4.160252,-2.773501,3.75,71,8.521127,1.818893,6.43841,1.443054,3685,0,0,0.296,0.072
6002,'2019/05/07 18:01:32:733',17,277,259,2,0,-2,1,72,8.430555,1.807519,6.438937,1.436102,3716,0,0,0.296,0.072
6003,'2019/05/07 18:01:32:766',17,278,255,5,1.212678,-4.850713,0.6,73,8.383562,1.790978,6.406659,1.43308,3736,0,0,0.296,0.072
6004,'2019/05/07 18:01:32:800',17,278,249,6,0,-6,0.25,74,8.351352,1.770154,6.368656,1.43446,3769,0,0,0.296,0.072
6005,'2019/05/07 18:01:32:833',17,275,247,5,-4.160252,-2.773501,0.25,75,8.306666,1.749885,6.337306,1.435507,3803,0,0,0.296,0.072
6006,'2019/05/07 18:01:32:865',17,275,247,0,0,0,1,76,8.197369,1.740018,6.366621,1.428497,3835,0,0,0.296,0.072
6007,'2019/05/07 18:01:32:897',17,272,249,5,-4.160252,2.773501,1.666667,77,8.155844,1.739066,6.335083,1.419093,3869,0,0,0.296,0.072
6008,'2019/05/07 18:01:32:934',17,265,256,14,-9.899495,9.899495,2.25,78,8.230769,1.745616,6.328504,1.411034,3901,0,0,0.296,0.072
6009,'2019/05/07 18:01:32:964',17,263,261,7,-2.599735,6.499337,1.75,79,8.21519,1.745672,6.289329,1.40196,3936,0,0,0.296,0.072
6010,'2019/05/07 18:01:32:999',17,263,267,6,0,6,0.25,80,8.1875,1.726976,6.254303,1.403059,3967,0,0,0.296,0.072
6011,'2019/05/07 18:01:33:031',17,264,273,7,1.150793,6.904757,0.25,81,8.172839,1.708742,6.216491,1.403887,4002,0,0,0.296,0.072
6012,'2019/05/07 18:01:33:063',17,266,279,8,2.529822,7.589466,0.25,82,8.170732,1.690952,6.178028,1.404464,4034,0,0,0.296,0.072
6013,'2019/05/07 18:01:33:085',17,271,287,13,6.889987,11.023978,1.666667,83,8.228915,1.69066,6.163078,1.395876,4066,0,0,0.296,0.072
6014,'2019/05/07 18:01:33:111',17,275,289,6,5.366563,2.683281,1.75,84,8.202381,1.691366,6.130666,1.387457,4087,0,0,0.296,0.072
6015,'2019/05/07 18:01:33:136',17,280,290,6,5.883484,1.176697,0,85,8.176471,1.671468,6.098745,1.391321,4114,0,0,0.296,0.072
